Material - Material Number (Key),Material - Text,Material - Material Group (Key),Material - Material Group (Text),SCHC 1 - Key,SCHC 1 - Text,Storage Location - Key (Not Compounded),Storage Location,Storage Type - Key,Storage Bin - Key,Storage Bin Type - Key (Not Compounded),Stock material - Blocked Stock (Key),Stock material - In Quality Insp. (Key),Stock material - Unrestr.-use Stock (Key),Total Stock,Material - CFSS UOI (Key),Material - CFSS UOI (Text),Technical Auth. Code - Key,Technical Auth. Code - TA Environment (Text),SMC - Key,SMC - Desc. Purch. Group (Key),GR Date - Key,Material - CFSS UOI Price (Key),Material - Lead IMA (Key),Material - Stock Type (Supply) (Key),Material - Lead IMA (Text),Material - Stock Classification (Key),Material - Stock Classification (Text),Material - DMC (Key),Material - DMC (Text),Material - Repair Code (Key),Material - Repair Code (Text),CC Physical Inventor - Key (Not Compounded),Last Inventory Date - Key,Quant - Key,Last Movement Date,Status,Mat Hlth Cat,Mat Hlt Sub Cat,Mat Hlth Sub Sub Cat,Tranche 1?,Storage Location Group,Last Demand Year,Assigned Year,Line Value,Price,Blocked,Quality Inspection,Lead EPM,Mark As Hazmat,Storage Medium,Size factor,Storage Bin,Count,Cubic Metres,25 CFSD Bin Structure,Transit Bin,Robot Message,Sheet
00-1721558:NSN,"SPRING,COCKING LEVE",1095,"Weapons, Miscellaneo",#,Not assigned,3,25CFSD SERV,SHA,134L116C,6,0.000 EA,0.000 EA,1.000 EA,1,EA,each,A31C,DGAEPM,52V,(A) DAP 6-3-5-B,#,12.05 CAD,1B,Z,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,5295052,8/15/2022,Success,,,,,,,1972,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-2049919:NSN,"CONTACT ASSEMBLY,ELECTRICAL",5999,Misc Electric Compnt,#,Not assigned,3,25CFSD SERV,SHA,174E142D,6,0.000 EA,0.000 EA,5.000 EA,5,EA,each,A005,DGAEPM,49F,(A) DAP   7-2-2-2,#,75.67 CAD,1B,Z,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,5311453,9/1/2022,Success,,,,,,,No Return,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0018826:NSN,"CONNECTOR,RECEPTACLE,ELECTRICAL",5935,"Connectors, Electric",#,Not assigned,3,25CFSD SERV,SHA,162N105C,6,0.000 EA,0.000 EA,2.000 EA,2,EA,each,N255,DGMEPM,LOC,LOC MANAGED ITEMS,2/9/2015,108.87 CAD,4G,G,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,4910720,9/29/2021,Success,,,,,,,1980,,,,,DGMEPM,,1. Shelving,0.1,,,,,,,
00-0108612:NSN,"INSULATOR,BUSHING",5970,Electrical Insulator,#,Not assigned,6,25CFSD Disposal,DIS,PO14-005,#,0.000 EA,0.000 EA,7.000 EA,7,EA,each,A32K,DGAEPM,52L,(A) DAP 6-2-3B,10/2/2013,101.93 CAD,1D,D,LIMITED SUBORDINATE ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,5145032,3/31/2022,Success,,,,,,,2001,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0850219:NSN,"INSERT,SCREW THREAD",5325,Fastening Devices,#,Not assigned,3,25CFSD SERV,SHA,154V120B,6,0.000 EA,0.000 EA,193.000 EA,193,EA,each,N308,DGMEPM,29B,(M)D MAR P 4-3-5-8,10/2/2013,2.48 CAD,4G,P,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,266021,3/25/2021,Success,,,,,,,1968,,,,,DGMEPM,,1. Shelving,0.1,,,,,,,
00-1794324:NSN,"LENS,LIGHT",6220,Electric Veh Lights,#,Not assigned,3,25CFSD SERV,SHA,106E140D,6,0.000 EA,0.000 EA,97.000 EA,14,EA,each,L66D,DGLEPM,66N,(L) DLP 5-2-2-4,10/2/2020,10.21 CAD,4G,P,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,9/10/2021,4872728,3/11/2022,Success,,,,,,,1974,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
00-1794324:NSN,"LENS,LIGHT",6220,Electric Veh Lights,#,Not assigned,3,25CFSD SERV,SHA,106E142B,6,0.000 EA,0.000 EA,97.000 EA,8,EA,each,L66D,DGLEPM,66N,(L) DLP 5-2-2-4,3/11/2022,10.21 CAD,4G,P,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,5113926,8/9/2022,Success,,,,,,,,,,,,,,,,,,,,,,
00-1794324:NSN,"LENS,LIGHT",6220,Electric Veh Lights,#,Not assigned,3,25CFSD SERV,SHA,106F139D,6,0.000 EA,0.000 EA,97.000 EA,10,EA,each,L66D,DGLEPM,66N,(L) DLP 5-2-2-4,8/22/2022,10.21 CAD,4G,P,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,5301913,8/22/2022,Success,,,,,,,,,,,,,,,,,,,,,,
00-0044011:NSN,"SPACER,SLEEVE",5365,Rings/Shims/Spacers,#,Not assigned,6,25CFSD Disposal,DIS,PO14-090,24,0.000 EA,0.000 EA,15.000 EA,15,EA,each,A32C,DGAEPM,52L,(A) DAP 6-2-3B,10/2/2013,0.03 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,5226487,6/2/2022,Success,,,,,,,1978,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0047024:NSN,"HOSE ASSEMBLY,NONMETALLIC",4720,Hose/Tubes Flexible,U,SLM-NON EXTENDABLE SHELF LIFE TYPE,6,25CFSD Disposal,SHA,132G197A,6,0.000 EA,0.000 EA,4.000 EA,4,EA,each,A51H,DGAEPM,52D,(A) DAP 6-2-4-K,10/2/2013,370.00 CAD,4A,X,ITEM IS SUBJECT TO SHELF LIFE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,4017761,8/29/2019,Success,,,,,,,1980,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0067374:NSN,"KIT,LANDING GEAR MA",1620,Aircraft Landing Gea,U,SLM-NON EXTENDABLE SHELF LIFE TYPE,6,25CFSD Disposal,SHA,132M194A,6,0.000 EA,0.000 EA,1.000 EA,1,EA,each,MA02,DGAEPM,58V,(A) DAP 4/OWSM/SM,10/3/2013,"3,195.75 CAD",4A,X,ITEM IS SUBJECT TO SHELF LIFE,C,CONSUMABLE STORES,Q,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,1334973,5/5/2014,Success,,,,,,,1983,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0072808:NSN,"CABLE ASSEMBLY,SPEC",5995,Cable/Cord/Wire Asse,Q,Q,6,25CFSD Disposal,DIS,PO14-205,24,0.000 EA,0.000 EA,1.000 EA,1,EA,each,A306,DGAEPM,52N,(A) DAP 6-2-4K,6/9/2016,"2,555.00 CAD",4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,B,3RD LINE ONLY,G,#,5264333,7/13/2022,Success,,,,,,,2016,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0076143:NSN,O-RING,5331,O-Rings,V,SLM-HUMIDIFIED STORAGE-NON EXTENDABLE SL,6,25CFSD Disposal,SHA,132H181D,6,0.000 EA,0.000 EA,303.000 EA,273,EA,each,L31H,DGLEPM,35E,(L) DLP 6-3-3-3C,10/3/2013,0.51 CAD,4A,X,ITEM IS SUBJECT TO SHELF LIFE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2358371,5/31/2016,Success,,,,,,,1980,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
00-0076143:NSN,O-RING,5331,O-Rings,V,SLM-HUMIDIFIED STORAGE-NON EXTENDABLE SL,6,25CFSD Disposal,SHA,132N108C,6,0.000 EA,0.000 EA,303.000 EA,30,EA,each,L31H,DGLEPM,35E,(L) DLP 6-3-3-3C,10/3/2013,0.51 CAD,4A,X,ITEM IS SUBJECT TO SHELF LIFE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2358372,5/31/2016,Success,,,,,,,,,,,,,,,,,,,,,,
00-1490758:NSN,"MOUNTING BASE,ELECTRICAL EQUIPMENT",5826,Radio Nav Eq Airborn,Q,Q,5,25CFSD Rep Res,4RP,044B252A,19,0.000 EA,0.000 EA,3.000 EA,3,EA,each,A32X,DGAEPM,55H,(A) DAP 4-3-5-2,1/10/2022,834.30 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,A,ACCOUNTABLE STORES,Q,Non-controlled good/Demil not required,D,2ND LINE WKSP ONLY,G,#,5042511,1/11/2022,Success,,,,,,,1975,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-1523512:NSN,"SIGHT,BORE,OPTICAL",1240,Optical Sighting,#,Not assigned,5,25CFSD Rep Res,4RP,044M253B,19,0.000 EA,0.000 EA,4.000 EA,1,EA,each,L31F,DGLEPM,30C,(L) DLP 3-4-C1,10/2/2013,"2,500.00 CAD",1R,X,QD MESSAGE FORMAT,A,ACCOUNTABLE STORES,Q,Non-controlled good/Demil not required,D,2ND LINE WKSP ONLY,G,#,5196742,5/10/2022,Success,,,,,,,1975,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
00-1523512:NSN,"SIGHT,BORE,OPTICAL",1240,Optical Sighting,#,Not assigned,5,25CFSD Rep Res,4RP,092C224A,19,0.000 EA,0.000 EA,4.000 EA,3,EA,each,L31F,DGLEPM,30C,(L) DLP 3-4-C1,10/2/2013,"2,500.00 CAD",1R,X,QD MESSAGE FORMAT,A,ACCOUNTABLE STORES,Q,Non-controlled good/Demil not required,D,2ND LINE WKSP ONLY,G,#,405951,7/4/2018,Success,,,,,,,,,,,,,,,,,,,,,,
00-2013507:NSN,FUZE SETTER,1290,Misc Fire Control Eq,#,Not assigned,5,25CFSD Rep Res,4RP,092E239A,19,0.000 EA,0.000 EA,1.000 EA,1,EA,each,L63G,DGLEPM,63B,(L) DLP 4-2-1-2,12/12/2018,15.36 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,A,ACCOUNTABLE STORES,Q,Non-controlled good/Demil not required,D,2ND LINE WKSP ONLY,H,#,3639919,12/20/2018,Success,,,,,,,1986,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
00-4980224:NSN,TRACTOR ASSEMBLY,5815,Teletype/Fax Eqpmt,#,Not assigned,5,25CFSD Rep Res,4RP,092J217A,19,0.000 EA,0.000 EA,1.000 EA,1,EA,each,A31Q,DGAEPM,52J,(A) DAP 6-2-3A,9/14/2018,390.00 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,D,2ND LINE WKSP ONLY,H,#,3511205,9/18/2018,Success,,,,,,,1979,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-5164724:NSN,"FILTER,FLUID",1650,Aircraft Hydraulic,#,Not assigned,5,25CFSD Rep Res,4RP,044E206A,19,0.000 EA,0.000 EA,2.000 EA,2,EA,each,AB05,DGAEPM,54B,(A)  DAP 2-2-5-2,5/14/2019,145.55 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,D,2ND LINE WKSP ONLY,H,#,3976475,8/13/2019,Success,,,,,,,1967,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
00-0191405:NSN,"SHEARS,METAL CUTTIN",5130,"Hand Tools, Power Dr",#,Not assigned,3,25CFSD SERV,SHA,104Z102B,6,0.000 EA,0.000 EA,1.000 EA,1,EA,each,A51H,DGAEPM,52D,(A) DAP 6-2-4-K,10/2/2013,"1,567.20 CAD",1J,X,DEMAND DIRECT ON ATESS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,G,4/13/2021,61493,10/2/2013,Success,,,,,,,1979,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
01-0672584:NSN,"WIRE ROPE ASSEMBLY,SINGLE LEG",4010,Chain/Wire Rope,#,Not assigned,3,25CFSD SERV,SHA,182D117C,6,0.000 EA,0.000 EA,2.000 EA,2,EA,each,A51H,DGAEPM,52D,(A) DAP 6-2-4-K,2/9/2022,245.16 CAD,1J,X,DEMAND DIRECT ON ATESS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,5070193,7/18/2022,Success,,,,,,,1985,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
01-2913366:NSN,"COVER,PROTECTIVE",1730,Aircraft Ground Serv,#,Not assigned,3,25CFSD SERV,SHA,164M158B,6,0.000 EA,0.000 EA,1.000 EA,1,EA,each,A52F,DGAEPM,50W,(A) DAP 5-3-2-5,10/2/2013,"1,651.23 CAD",1J,X,DEMAND DIRECT ON ATESS,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,D,2ND LINE WKSP ONLY,G,7/28/2021,361833,3/14/2022,Success,,,,,,,1989,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
01-3656755:NSN,"METER,ILLUMINATION INTENSITY",6695,Combination/Misc Ins,#,Not assigned,5,25CFSD Rep Res,4RP,068J222B,19,0.000 EA,0.000 EA,1.000 EA,1,EA,each,UX02,DGAEPM,55G,(A) DAP 4-3-5-2-4,8/9/2018,633.40 CAD,1J,X,DEMAND DIRECT ON ATESS,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,B,3RD LINE ONLY,G,#,4243685,1/27/2020,Success,,,,,,,1992,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
01-4182727:NSN,"WIRE ROPE ASSEMBLY,SINGLE LEG",4010,Chain/Wire Rope,#,Not assigned,3,25CFSD SERV,SHA,134AB153P,6,0.000 EA,0.000 EA,3.000 EA,2,EA,each,A51H,DGAEPM,52D,(A) DAP 6-2-4-K,3/8/2021,98.50 CAD,1J,X,DEMAND DIRECT ON ATESS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,4635286,4/6/2021,Success,,,,,,,1995,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
01-4182727:NSN,"WIRE ROPE ASSEMBLY,SINGLE LEG",4010,Chain/Wire Rope,#,Not assigned,3,25CFSD SERV,SHA,134N183B,6,0.000 EA,0.000 EA,3.000 EA,1,EA,each,A51H,DGAEPM,52D,(A) DAP 6-2-4-K,2/18/2014,98.50 CAD,1J,X,DEMAND DIRECT ON ATESS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,3/12/2020,4313780,4/6/2021,Success,,,,,,,,,,,,,,,,,,,,,,
01-6800090:NSN,LABELING MACHINE,7490,Misc Office Machines,Q,Q,3,25CFSD SERV,SHA,132Y119C,6,0.000 EA,0.000 EA,1.000 EA,1,EA,each,L330,DGLEPM,37H,(L) DLP 6-3-7-2,5/13/2021,380.00 CAD,2F,X,DENTAL MATERIEL,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,4748296,6/10/2021,Success,,,,,,,2019,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
01-6878483:NSN,"STERILIZER,SURGICAL INSTRUMENT",6530,Hospital Furniture/E,Q,Q,3,25CFSD SERV,HPA,046E207B,14,0.000 EA,0.000 EA,4.000 EA,2,EA,each,L330,DGLEPM,37H,(L) DLP 6-3-7-2,11/2/2021,"6,000.00 CAD",2F,X,DENTAL MATERIEL,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,B,3RD LINE ONLY,G,#,4964131,11/2/2021,Success,,,,,,,2020,,,,,DGLEPM,,2. Pallet,1,,,,,,,
01-6878483:NSN,"STERILIZER,SURGICAL INSTRUMENT",6530,Hospital Furniture/E,Q,Q,3,25CFSD SERV,HPA,046E215B,14,0.000 EA,0.000 EA,4.000 EA,2,EA,each,L330,DGLEPM,37H,(L) DLP 6-3-7-2,11/2/2021,"6,000.00 CAD",2F,X,DENTAL MATERIEL,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,B,3RD LINE ONLY,G,#,4964132,11/2/2021,Success,,,,,,,,,,,,,,,,,,,,,,
01-6912483:NSN,DENTAL OPERATING UNIT,6520,Dental Instruments,Q,Q,3,25CFSD SERV,SHA,104N168A,6,0.000 EA,0.000 EA,1.000 EA,1,EA,each,L330,DGLEPM,37H,(L) DLP 6-3-7-2,3/9/2021,"2,700.00 CAD",2F,X,DENTAL MATERIEL,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,B,3RD LINE ONLY,G,#,4603901,4/29/2022,Success,,,,,,,2020,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
01-6962234:NSN,"CASE,DENTAL INSTRUMENTS",6520,Dental Instruments,Q,Q,3,25CFSD SERV,HPA,050B217A,13,0.000 EA,0.000 EA,95.000 EA,95,EA,each,L330,DGLEPM,37H,(L) DLP 6-3-7-2,1/11/2022,125.00 CAD,2F,X,DENTAL MATERIEL,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,1/11/2022,5042033,3/1/2022,Success,,,,,,,2021,,,,,DGLEPM,,2. Pallet,1,,,,,,,
20-0128576:NSN,"COUPLER,DENTAL HANDPIECE",6520,Dental Instruments,Q,Q,3,25CFSD SERV,SHA,172X167D,6,0.000 EA,0.000 EA,6.000 EA,6,EA,each,L330,DGLEPM,37H,(L) DLP 6-3-7-2,9/30/2020,290.00 CAD,2F,X,DENTAL MATERIEL,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,B,3RD LINE ONLY,H,#,4858536,11/22/2021,Success,,,,,,,2020,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
00-0190670:NSN,"WASHER,LOCK",5310,Nuts/Washers,B,FIRST LEVEL SUBMARINE SPARE,3,25CFSD SERV,SHA,108D137E,6,0.000 HD,0.000 HD,58.000 HD,58,HD,Hundred,N041,DGMEPM,240,(M)D MAR P 3-4-2-4,10/2/2013,0.69 CAD,3A,X,ASD-DEMAND FROM PRIME CONTRACTOR,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,61287,10/2/2013,Success,,,,,,,1964,,,,,DGMEPM,,1. Shelving,0.1,,,,,,,
00-0207934:NSN,"BOOT,DUST AND MOISTURE SEAL",5930,Switches,S,SLM-REQUIRES PERIODIC TEST/RESTORATION,3,25CFSD SERV,SHA,132V115D,6,0.000 EA,100.000 EA,92.000 EA,92,EA,each,N296,DGMEPM,240,(M)D MAR P 3-4-2-4,10/2/2013,1.43 CAD,3A,X,ASD-DEMAND FROM PRIME CONTRACTOR,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,3840297,8/7/2019,Success,,,,,,,1978,,,,,DGMEPM,,1. Shelving,0.1,,,,,,,
00-0207934:NSN,"BOOT,DUST AND MOISTURE SEAL",5930,Switches,S,SLM-REQUIRES PERIODIC TEST/RESTORATION,3,25CFSD SERV,SHA,132X101A,6,0.000 EA,100.000 EA,92.000 EA,100,EA,each,N296,DGMEPM,240,(M)D MAR P 3-4-2-4,10/3/2016,1.43 CAD,3A,X,ASD-DEMAND FROM PRIME CONTRACTOR,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2523792,10/3/2016,Success,,,,,,,,,,,,,,,,,,,,,,
00-1840836:NSN,"FUSE,CARTRIDGE",5920,Fuses/Arresters/Abso,#,Not assigned,3,25CFSD SERV,SHA,134L108D,6,0.000 EA,0.000 EA,91.000 EA,91,EA,each,N041,DGMEPM,240,(M)D MAR P 3-4-2-4,10/2/2013,0.39 CAD,3A,X,ASD-DEMAND FROM PRIME CONTRACTOR,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,723254,10/3/2013,Success,,,,,,,1963,,,,,DGMEPM,,1. Shelving,0.1,,,,,,,
00-4032670:NSN,"FUSE,CARTRIDGE",5920,Fuses/Arresters/Abso,#,Not assigned,3,25CFSD SERV,SHA,118P110D,6,0.000 EA,0.000 EA,20.000 EA,11,EA,each,N044,DGMEPM,240,(M)D MAR P 3-4-2-4,10/2/2013,1.35 CAD,3A,X,ASD-DEMAND FROM PRIME CONTRACTOR,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,19461,2/11/2014,Success,,,,,,,1988,,,,,DGMEPM,,1. Shelving,0.1,,,,,,,
00-4032670:NSN,"FUSE,CARTRIDGE",5920,Fuses/Arresters/Abso,#,Not assigned,3,25CFSD SERV,SHA,154N152D,6,0.000 EA,0.000 EA,20.000 EA,9,EA,each,N044,DGMEPM,240,(M)D MAR P 3-4-2-4,10/2/2013,1.35 CAD,3A,X,ASD-DEMAND FROM PRIME CONTRACTOR,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,19494,10/2/2013,Success,,,,,,,,,,,,,,,,,,,,,,
00-1675122:NSN,O-RING,5331,O-Rings,Q,Q,3,25CFSD SERV,SHA,156X153M,6,0.000 EA,0.000 EA,"2,357.000 EA",2357,EA,each,N903,DGMEPM,26E,(M)D MAR P 7-2-5-4,10/2/2013,1.34 CAD,3B,X,PFC APPLIES,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,11/8/2018,3586501,11/8/2018,Success,,,,,,,1975,,,,,DGMEPM,,1. Shelving,0.1,,,,,,,
00-9520341:NSN,O-RING,5331,O-Rings,U,SLM-NON EXTENDABLE SHELF LIFE TYPE,3,25CFSD SERV,SHA,132H159B,6,0.000 EA,0.000 EA,1.000 EA,1,EA,each,A56B,DGAEPM,52X,(A) DAP 4-3-5-2-4,7/9/2020,9.94 CAD,3B,X,PFC APPLIES,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,4377378,7/9/2020,Success,,,,,,,1968,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
01-0788858:NSN,GASKET,5330,Packing/Gasket Mater,#,Not assigned,3,25CFSD SERV,SHA,108Y177C,6,0.000 EA,0.000 EA,44.000 EA,44,EA,each,A304,DGAEPM,52K,(A) DAP 6-3-5B,5/23/2014,3.97 CAD,3B,X,PFC APPLIES,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,9/15/2021,4882328,9/15/2021,Success,,,,,,,1985,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
01-0805023:NSN,GASKET,5330,Packing/Gasket Mater,#,Not assigned,3,25CFSD SERV,SHA,134T118A,6,0.000 EA,0.000 EA,673.000 EA,673,EA,each,A304,DGAEPM,52K,(A) DAP 6-3-5B,10/2/2013,4.00 CAD,3B,X,PFC APPLIES,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,729775,3/26/2018,Success,,,,,,,1985,,,,,DGAEPM,,1. Shelving,0.1,,,,,,,
01-3473291:NSN,"LIGHT,INDICATOR",6210,Indoor/Outdoor Light,#,Not assigned,3,25CFSD SERV,SHA,136F118B3,6,0.000 EA,0.000 EA,5.000 EA,5,EA,each,NM16,DGMEPM,21C,(M)D MAR P 7-2-2-2,10/3/2013,118.71 CAD,3B,X,PFC APPLIES,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,856970,5/4/2015,Success,,,,,,,1991,,,,,DGMEPM,,1. Shelving,0.1,,,,,,,
01-3473296:NSN,"LIGHT,INDICATOR",6210,Indoor/Outdoor Light,#,Not assigned,3,25CFSD SERV,SHA,108J105F2,6,0.000 EA,0.000 EA,4.000 EA,4,EA,each,NM16,DGMEPM,21C,(M)D MAR P 7-2-2-2,10/3/2013,118.52 CAD,3B,X,PFC APPLIES,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,856994,5/4/2015,Success,,,,,,,1991,,,,,DGMEPM,,1. Shelving,0.1,,,,,,,
00-2284386:NSN,"CONNECTOR,RECEPTACLE,ELECTRICAL",5935,"Connectors, Electric",Q,Q,3,25CFSD SERV,SHA,156V162D,6,0.000 EA,0.000 EA,2.000 EA,2,EA,each,L33P,DGLEPM,67A,(L) DLP 6-3-6C,4/28/2017,3.00 CAD,3G,X,CALL UP AGAINST STANDING OFFER,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2815938,5/30/2022,Success,,,,,,,1989,,,,,DGLEPM,,1. Shelving,0.1,,,,,,,
00-2871784:NSN,"ADAPTER,STRAIGHT,PIPE TO HOSE",4730,Hose/Pipe Fittings,#,Not assigned,3,25CFSD SERV,SHA,182R149A,6,0.000 EA,0.000 EA,1.000 EA,1,EA,each,N285,DGMEPM,28B,(M)D MAR P 4-3-5-4,#,1.18 CAD,3G,X,CALL UP AGAINST STANDING OFFER,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,5288879,8/5/2022,Success,,,,,,,1972,,,,,DGMEPM,,1. Shelving,0.1,,,,,,,
00-5192714:NSN,"BUS,CONDUCTOR",6150,Misc Electric Pwr Eq,Q,Q,3,25CFSD SERV,SHA,108E119C3,6,0.000 EA,0.000 EA,138.000 EA,28,EA,each,N904,DGMEPM,49G,(P) D SVCS C 2323,10/2/2013,2.38 CAD,3G,X,CALL UP AGAINST STANDING OFFER,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,7/13/2021,4792750,7/13/2021,Success,,,,,,,1963,,,,,DGMEPM,,1. Shelving,0.1,,,,,,,
00-5192714:NSN,"BUS,CONDUCTOR",6150,Misc Electric Pwr Eq,Q,Q,3,25CFSD SERV,SHA,114K187A,6,0.000 EA,0.000 EA,138.000 EA,110,EA,each,N904,DGMEPM,49G,(P) D SVCS C 2323,10/2/2013,2.38 CAD,3G,X,CALL UP AGAINST STANDING OFFER,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,5/18/2021,4718396,5/18/2021,Success,,,,,,,,,,,,,,,,,,,,,,
00-8504812:NSN,"FUSE,CARTRIDGE",5920,Fuses/Arresters/Abso,#,Not assigned,3,25CFSD SERV,SHA,122E122C,6,0.000 EA,0.000 EA,9.000 EA,9,EA,each,N22C,DGMEPM,24B,(M)D MAR P 4-3-2-3,10/2/2013,12.42 CAD,3G,X,CALL UP AGAINST STANDING OFFER,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,492513,5/14/2014,Success,,,,,,,1968,,,,,DGMEPM,,1. Shelving,0.1,,,,,,,
